Call_Type,Count,Description
Entertainment,17727,Where most YouTube community thrives!
Music,19997,Your Most popular Music videos and creators
Howto & Style,9187,Trending artists share DIY tutorials
Sports,3965,Top Sports channels and news
Comedy,3202,Fun channels for all ages!
Education,5522,Self-learning and DIY projects
People & Blogs,14170,Follow your favorite creators for their life updates
Film & Animation,4621,Explore newest trending films and animations
Gaming,15499,Top professional gaming channels
Science & Technology,3484,Latest on Science and Technology news 
Pets & Animals,880,Connect with best pet growers around the world
News & Politics,1850,Stay in the news of the latest broadcasts
Autos & Vehicles,2581,Exclusive sharing and educational videos for auto lovers
Travel & Events,1290,See the world through the best footage of your favorite creators
