category_name,description,followers,profile_url,title,videos
Music,\,69471946,http://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,T-Series,12820
Music,Ed Sheeran\'s official YouTube channel!,35343953,http://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,122
Music,"Marshall Bruce Mathers III, better known by his stage name Eminem (stylized as EMINÆŽM) and by his alter ego Slim Shady, is an American rapper, record producer, songwriter and actor. Eminem, along with his solo career, is a member of his group D12, and also one half of the hip hop duo Bad Meets Evil, with Royce da 5\'9\",33959205,http://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,114
Music,"WITNESS! THE ALBUM THE TOUR IT\'S ALL HAPPENING: http://katyperry.com
Get \'Witness\': http://katy.to/witnessYT",31797683,http://www.youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,Katy Perry,94
Music,The Official Taylor Swift YouTube Channel,31556544,http://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,162
Music,,28426920,http://www.youtube.com/channel/UCb2HGwORFBo94DmRx4oLzow,One Direction,157
Music,,27988797,http://www.youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,86
Music,"sweetener
arianagrande.lnk.to/sweetener",27154773,http://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande`,110
Music,"Katy Perry on Vevo - Official Music Videos, Live Performances, Interviews and more...",26592317,http://www.youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,125
Music,"Eminem on Vevo - Official Music Videos, Live Performances, Interviews and more...",26572348,http://www.youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,82
